id,anime_id,episode,username,content,user_id,created_at,parent_id,likes
1,187166,1,Vegeta_950,hii,763dd998-ff66-4a0c-a0d9-856825356c4e,2026-07-09 13:01:07.270736+00,null,0
2,184356,1,Deku_76,Greate!,763dd998-ff66-4a0c-a0d9-856825356c4e,2026-07-09 15:46:53.862883+00,null,0
3,178789,1,Griff Enders,he is a pdf,02ad01e0-4637-432c-9ef8-f9401c386be3,2026-07-10 16:18:53.390704+00,null,0
4,527,1,race,hey,fc8ad2c1-2f88-4972-9fa1-8a6028007f30,2026-07-11 00:42:05.43331+00,null,0
5,178789,1,adam,son,90ed83c7-3c61-409e-ae63-3c67529f22ff,2026-07-11 06:54:43.022318+00,3,0
6,1575,1,Schneizel,ts is peak,66bd799d-6832-4dbb-816c-07a00d381a0f,2026-07-11 08:21:27.177589+00,null,0
7,14813,1,Eggime,GOAT status,59f7e097-b3d3-4d0e-9d74-a16df6eb6cf3,2026-07-11 15:23:14.599764+00,null,0
8,20698,1,Eggime,GOAT status,59f7e097-b3d3-4d0e-9d74-a16df6eb6cf3,2026-07-11 15:24:54.712575+00,null,0
9,97940,1,SASUKE,this app has still to m,29d0ff32-f097-407a-a4c6-85ba106a284d,2026-07-11 17:50:33.656054+00,null,0
10,97940,1,SASUKE,this app has still to many bugs,29d0ff32-f097-407a-a4c6-85ba106a284d,2026-07-11 17:50:57.258507+00,null,0
11,154587,1,69haremking69,it's showing s2 not s1,4a6cf53f-e05f-4a09-be92-d36bc86ecde0,2026-07-11 20:27:59.662342+00,null,0
12,20605,1,Levi_77,lets goo!!!,null,2026-07-12 00:04:24.228272+00,null,0
13,180136,1,SASUKE,"aniplay dev do you have any tg,discord acc ?",29d0ff32-f097-407a-a4c6-85ba106a284d,2026-07-12 12:32:36.543326+00,null,0
14,180136,1,SASUKE,if you have one thek i can tell you,29d0ff32-f097-407a-a4c6-85ba106a284d,2026-07-12 12:33:06.066173+00,null,0
15,180136,1,SASUKE,about some bugs,29d0ff32-f097-407a-a4c6-85ba106a284d,2026-07-12 12:33:30.146589+00,null,0
16,30,1,zoha,Last two epi seem so out of context,373d2d72-249f-4a49-b33e-e62e613f2734,2026-07-12 13:40:48.716508+00,null,0
17,128546,1,Guester,hii,3176a2f9-1435-4874-b7ba-e139a3de3313,2026-07-12 15:06:47.045586+00,null,0
18,223,1,makulon1,a lot of links playing z instead,3f03f781-158b-4e4e-a5c9-744d76e13b4d,2026-07-13 19:59:48.865046+00,null,0
19,151807,1,Sasuke_696,the subs are not good in any,null,2026-07-14 02:52:55.472132+00,null,0
20,133965,1,sahil123,hii,763dd998-ff66-4a0c-a0d9-856825356c4e,2026-07-14 19:05:38.423276+00,null,0
21,135865,1,midwayrain,why dont people use comments lol,71bc6b31-3334-453f-8e90-9e3943760b83,2026-07-15 12:31:56.005334+00,null,0
22,135865,1,Shiv,Exactly,74c9e7a1-6db1-4f4c-b0d7-b47b0bcbb3ff,2026-07-15 15:27:31.530079+00,21,0
23,178789,1,midwayrain,son,71bc6b31-3334-453f-8e90-9e3943760b83,2026-07-15 23:37:43.882174+00,3,0
24,180136,1,Aniplay DEV,yes i have https://discord.gg/3NrBxjAJe,763dd998-ff66-4a0c-a0d9-856825356c4e,2026-07-16 18:28:56.551005+00,13,0
25,135865,1,Aniplay DEV,join my discord server https://discord.gg/3NrBxjAJe,763dd998-ff66-4a0c-a0d9-856825356c4e,2026-07-16 18:29:58.87521+00,21,0
26,187166,1,Aniplay DEV,"hii hope you are enjoying watching anime , for more updates or for bug reporting you can join my Aniply offocial discord server  https://discord.gg/3NrBxjAJe",763dd998-ff66-4a0c-a0d9-856825356c4e,2026-07-16 18:33:04.340756+00,1,0
27,178789,1,Subaru_593,son,null,2026-07-16 21:07:02.394752+00,3,0
28,199221,1,nigger,happy there might be another season,e54875ff-2740-4673-a56a-e4e74add78b6,2026-07-17 19:05:57.307952+00,null,0
29,180136,1,xtx,please dev add german sub or dub to the animes please,4b25b2f4-438d-4166-83d2-80707c134132,2026-07-17 23:29:56.465114+00,null,0
30,113415,1,voohi,jjk is the best,504a1305-f2b1-415e-8224-7a45097203fa,2026-07-18 10:14:32.449214+00,null,0
31,269,1,mr talal,am i the first comentor,849edf66-b83d-4156-8b61-45cbd31c2492,2026-07-18 20:44:07.63216+00,null,0
32,202269,1,voohi,this anime is so peak and also sading,504a1305-f2b1-415e-8224-7a45097203fa,2026-07-20 10:05:20.836678+00,null,0
33,178090,1,Zoro,i think this is pretty good as compare to first,3795ab83-7383-44dd-bb8a-3df10a0bf64f,2026-07-20 10:17:19.529848+00,null,0
34,202269,1,Aniplay DEV,Are you enjoying the app experience ?,763dd998-ff66-4a0c-a0d9-856825356c4e,2026-07-20 13:04:52.544111+00,32,0
